year,title,imdbid,id,rating,directors,writers,cast,directors_male,directors_female,writers_male,writers_female,cast_male,cast_female
1979,Angels&#39; Brigade,78778.0,5708,3,0.0,1.0,10.0,0.0,0.0,1.0,0.0,19.0,9.0
2001,Frailty,264616.0,10081,0,1.0,1.0,11.5,1.0,0.0,1.0,0.0,19.5,8.0
1999,Being John Malkovich,120601.0,917,3,0.0,0.5,11.5,0.0,0.0,0.5,0.0,38.0,26.5
1979,Being There,78841.0,1699,2,1.0,3.0,27.0,1.0,0.0,3.0,0.0,42.5,15.5
2010,Somewhere,1421051.0,2124,3,-1.0,-1.0,-11.5,0.0,1.0,0.0,1.0,39.5,51.0
2010,"Tomorrow, When the War Began",1456941.0,5134,3,1.0,2.0,4.5,1.0,0.0,2.0,0.0,12.5,8.0
1994,Revenge of the Musketeers,109798.0,9525,3,1.0,5.0,25.5,1.0,0.0,5.0,0.0,39.5,14.0
2012,Seeking a Friend for the End of the World,1307068.0,3533,1,-1.0,-1.0,10.0,0.0,1.0,0.0,1.0,23.5,13.5
2009,Broken Embraces,913425.0,2830,3,1.0,1.0,4.5,1.0,0.0,1.0,0.0,18.5,14.0
2006,Night of the Living Dead 3D,489244.0,10209,3,1.0,4.0,24.0,1.0,0.0,4.0,0.0,38.5,14.5
2016,Sensitivity Training,5697078.0,8084,3,-1.0,-1.0,5.0,0.0,1.0,0.0,1.0,11.5,6.5
1990,Life Is Sweet,100024.0,796,3,1.0,1.0,2.0,1.0,0.0,1.0,0.0,7.0,5.0
2009,"Girl Who Played with Fire, The",1216487.0,2149,3,1.0,2.0,17.5,1.0,0.0,2.0,0.0,26.5,9.0
2000,Alley Cats Strike,217990.0,9050,3,1.0,1.0,6.5,1.0,0.0,1.0,0.0,15.5,9.0
1998,"Avengers, The",118661.0,4817,3,1.0,1.5,14.0,1.0,0.0,1.5,0.0,18.0,4.0
2011,Limitless,1219289.0,2162,1,1.0,0.5,31.5,1.0,0.0,1.0,0.5,74.5,43.0
2010,Kick-Ass,1250777.0,737,1,1.0,2.0,38.5,1.0,0.0,3.0,1.0,46.0,7.5
2005,Say Uncle,401385.0,8550,2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,20.0,19.0
1992,Boomerang,103859.0,5318,3,1.0,3.0,14.0,1.0,0.0,3.0,0.0,31.5,17.5
2009,Case 39,795351.0,1750,3,1.0,0.5,7.5,1.0,0.0,0.5,0.0,27.5,20.0
1934,L&#39;atalante,24844.0,1795,0,1.0,5.0,11.0,1.0,0.0,5.0,0.0,14.0,3.0
2008,Management,1082853.0,3965,2,1.0,1.0,12.5,1.0,0.0,1.0,0.0,20.5,8.0
1982,Grease 2,84021.0,3034,3,-1.0,3.0,17.0,0.0,1.0,3.0,0.0,37.0,20.0
2003,Distant Lights (Lichter),351238.0,2107,3,0.0,1.0,23.5,0.0,0.0,1.0,0.0,39.5,16.0
1976,Murder by Death,74937.0,2949,3,1.0,1.0,3.5,1.0,0.0,1.0,0.0,9.0,5.5
1988,Two Moon Junction,96324.0,4628,3,1.0,2.0,0.0,1.0,0.0,2.0,0.0,11.5,11.5
2002,Cube2: Hypercube,285492.0,4277,3,1.0,2.5,3.5,1.0,0.0,3.0,0.5,7.0,3.5
2019,Under The Silver Lake,5691670.0,9149,0,1.0,1.0,-5.5,1.0,0.0,1.0,0.0,29.0,34.5
2017,"Circle, The",4287320.0,7604,3,1.0,3.0,14.5,1.0,0.0,3.0,0.0,36.0,21.5
